cod_unid_negoc,cod_unid_oper,id_grp_pagrec,cod_grp_pagrec,desc_grp_pagrec,ind_tip_grupo,id_conta_cred,id_conta_deb,id_conta_cor,ind_nivel,id_grp_pagrec_pai,cod_parceiro,ind_fluxo_caixa,desc_sigla,ind_situacao,cod_dre,tmp_depreciacao,cod_ccusto,obriga_ccusto
61,1,1,1.000.0000,Pagamentos,D,,,,S,,,S,,A,,,,
61,1,6,1.001.0000,Custos Fixos,D,,,,A,1.0,,S,,A,,,,
61,1,7,1.001.0001,Remuneração a dirigentes,D,,,,A,6.0,,S,,A,,,,
61,1,135,1.001.0002,"CLT - Ordenados, Salários, Gratificações e outras remunerações",D,,,,A,6.0,,S,,A,,,,
61,1,136,1.001.0003,Prestação de Serviço Pessoa Jurídica,D,,,,A,6.0,,S,,A,,,,
61,1,137,1.001.0004,Manutenção e conservação de bens e instalações,D,,,,A,6.0,,S,,A,,,,
61,1,138,1.001.0005,"Vale refeição, vale transporte, cesta básica, plano de saude, etc",D,,,,A,6.0,,S,,A,,,,
61,1,139,1.001.0006,"Alugueis, Luz, Agua, Telefonia, Gas,",D,,,,A,6.0,,S,,A,,,,
61,1,140,1.001.0007,Comissões de terceiros,D,,,,A,6.0,,S,,A,,,,
61,1,142,1.001.0008,"Informática (link, manutenção, hospedagem, etc)",D,,,,A,6.0,,S,,A,,,,
61,1,173,1.001.0008,Publicidade Propaganda,D,,,4.0,A,12.0,17739.0,S,,A,,,,
61,1,144,1.001.0009,Outros Custos Fixos,D,,,,A,6.0,,S,,A,,,,
61,1,14,1.002.0001,Insumos Medicamentos (farmácia),D,,,11.0,A,12.0,29.0,S,,A,,,,
61,1,12,1.002.0001,Custos Variáveis,D,,,11.0,S,1.0,19080.0,S,,A,,,,
61,1,159,1.002.0002,Insumos Centro Cirúrgico,D,,,,A,12.0,,S,,A,,,,
61,1,13,1.002.0003,Insumos Loja - ração,D,,,11.0,A,12.0,43.0,S,,A,,,,
61,1,99,1.002.0004,Insumos Loja - acessórios,D,,,11.0,A,12.0,17909.0,S,,A,,,,
61,1,151,1.002.0005,Insumos Loja - higiene e limpeza,D,,,11.0,A,12.0,17733.0,S,,A,,,,
61,1,152,1.002.0006,Insumos Banho e Tosa,D,,,11.0,A,12.0,18194.0,S,,A,,,,
61,1,153,1.002.0007,Insumos Clinica Médica,D,,,,A,12.0,,S,,A,,,,
61,1,154,1.002.0008,Insumos Laboratório,D,,,,A,12.0,,S,,A,,,,
61,1,155,1.002.0009,Insumos Radiologia,D,,,,A,12.0,,S,,A,,,,
61,1,156,1.002.0010,"Insumos Imagem (Eco, Eletro, US)",D,,,11.0,A,12.0,35.0,S,,A,,,,
61,1,157,1.002.0011,Insumos Hotel,D,,,,A,12.0,,S,,A,,,,
61,1,158,1.002.0012,Insumos UTI,D,,,,A,12.0,,S,,A,,,,
61,1,16,1.002.0013,"Veterinários comissionados - Salários, comissões, etc.",D,,,,A,12.0,,S,,A,,,,
61,1,165,1.002.0014,Padaria ( café / açúcar ),D,,,,A,12.0,,S,,A,,,,
61,1,167,1.002.0015,Seguros,D,,,11.0,A,12.0,19079.0,S,,A,,,,
61,1,172,1.002.0016,Sindicatos,D,,,11.0,A,12.0,19081.0,S,,A,,,,
61,1,174,1.002.0018,Material de escritório,D,,,11.0,A,12.0,17716.0,S,,A,,,,
61,1,243,1.002.0019,"Correio, Cartório, Xerox, Autenticações e etc",D,,,,A,12.0,20656.0,S,,A,,,,
61,1,244,1.002.0020,"Veículo ( combustivel, óleo, oficina e manutenção geral )",D,,,,A,12.0,,S,,A,,,,
61,1,245,1.002.0021,Vigia noturno ( segurança ),D,,,,A,12.0,,S,,A,,,,
61,1,246,1.002.0022,Reembolso / troco para cliente,D,,,,A,12.0,,S,,A,,,,
61,1,247,1.002.0023,Despesas diversas,D,,,,A,12.0,,S,,A,,,,
61,1,180,1.002.0024,Notificação de imposição de penalidade de multa,D,,,,A,12.0,,S,,A,,,,
61,1,19,1.003.0000,Impostos,D,,,11.0,S,1.0,19081.0,S,,A,,,,
61,1,20,1.003.0001,Impostos sobre Vendas - ISS (dia 15),D,,,,A,19.0,,S,,A,,,,
61,1,21,1.003.0002,Encargos Sociais - Previdência Social - GPS/INSS (dia 20),D,,,,A,19.0,,S,,A,,,,
61,1,22,1.003.0003,Encargos Sociais - FGTS (dia 7),D,,,,A,19.0,,S,,A,,,,
61,1,23,1.003.0004,PIS / COFINS (dia 25),D,,,,A,19.0,,S,,A,,,,
61,1,24,1.003.0005,IRPJ / CSLL (trimestral dia 30),D,,,,A,19.0,,S,,A,,,,
61,1,25,1.003.0006,GARE ICMS -MGS,R,,,11.0,A,19.0,,S,,A,,,,
61,1,177,1.003.0006,GARE ICMS MGS,D,,,11.0,A,19.0,17765.0,S,,A,,,,
61,1,166,1.003.0007,IPTU,D,,,,A,19.0,,S,,A,,,,
61,1,170,1.003.0008,IMPOSTO DE TAXAS SOBRE ATIVIDADES MGS,D,,,11.0,A,19.0,17721.0,S,,A,,,,
61,1,171,1.003.0009,IMPOSTO DE TAXAS SOBRE ATIVIDADES MB,D,,,4.0,A,19.0,,S,,A,,,,
61,1,175,1.003.0010,DARF RPS MB,D,,,4.0,A,19.0,,S,,A,,,,
61,1,176,1.003.0011,DARF PRÓ-LABORE MGS,D,,,11.0,A,19.0,,S,,A,,,,
61,1,178,1.003.0012,DAS DOC  DE ARREC DO SIMPLES NACIONAL MGS,D,,,,A,19.0,,S,CGSN,A,,,,
61,1,179,1.003.0013,DAS DOC DE ARREC DO SIMPLES NACIONAL MB,D,,,,A,19.0,,S,CGSN,A,,,,
61,1,145,1.004.0000,Investimentos,D,,,,A,1.0,,S,,A,,,,
61,1,146,1.004.0001,Propaganda e Publicidade,D,,,,A,145.0,,S,,A,,,,
61,1,147,1.004.0002,Consultoria,D,,,,A,145.0,,S,,A,,,,
61,1,148,1.004.0003,Obras,D,,,,A,145.0,,S,,A,,,,
61,1,149,1.004.0004,"Equipamentos, Bens, etc",D,,,,A,145.0,,S,,A,,,,
61,1,150,1.004.0005,Outros investimentos,D,,,,A,145.0,,S,,A,,,,
61,1,2,2.000.0000,Recebimentos,R,,,,S,,,S,,A,,,,
61,1,3,2.001.0000,Venda Direta,R,,,,S,2.0,,S,,A,,,,
61,1,4,2.001.0001,Venda Direta (dinheiro),R,,,4.0,A,3.0,,S,,A,,,,
61,1,5,2.001.0002,Venda Direta (cheque),R,,,,A,3.0,,S,,A,,,,
61,1,160,2.001.0003,Venda Direta (cartão de débito),R,,,,A,3.0,,S,,A,,,,
61,1,161,2.001.0004,Venda Direta (cartão de crédito),R,,,,A,3.0,,S,,A,,,,
61,1,162,2.001.0005,Venda Direta (boleto),R,,,,A,3.0,,S,,A,,,,
61,1,163,2.001.0006,Venda Direta (depósito),R,,,,A,3.0,,S,,A,,,,
61,1,168,2.001.0007,ANTECIPAÇÕES,R,,,,A,3.0,,S,ANT,A,,,,
61,1,169,2.001.0008,BONUS,R,,,,A,3.0,,S,,A,,,,
61,2,182,1.000.0000,Pagamentos,D,,,,S,,,S,,A,,,,
61,2,187,1.001.0000,Custos Fixos,D,,,,A,182.0,,S,,A,,,,
61,2,184,1.001.0001,Remuneração a dirigentes,D,,,,A,187.0,,S,,A,,,,
61,2,186,1.001.0002,"CLT - Ordenados, Salários, Gratificações e outras remunerações",D,,,,A,187.0,,S,,A,,,,
61,2,185,1.001.0003,Prestação de Serviço Pessoa Jurídica,D,,,,A,187.0,,S,,A,,,,
61,2,213,1.001.0004,Manutenção e conservação de bens e instalações,D,,,,A,187.0,,S,,A,,,,
61,2,212,1.001.0005,"Vale refeição, vale transporte, cesta básica, plano de saude, etc",D,,,,A,187.0,,S,,A,,,,
61,2,211,1.001.0006,"Alugueis, Luz, Agua, Telefonia, Gas,",D,,,,A,187.0,,S,,A,,,,
61,2,214,1.001.0007,Comissões de terceiros,D,,,,A,187.0,,S,,A,,,,
61,2,215,1.001.0008,"Informática (link, manutenção, hospedagem, etc)",D,,,,A,187.0,,S,,A,,,,
61,2,225,1.001.0008,Publicidade Propaganda,D,,,4.0,A,227.0,17739.0,S,,A,,,,
61,2,216,1.001.0009,Outros Custos Fixos,D,,,,A,187.0,,S,,A,,,,
61,2,231,1.002.0001,Custos Variáveis,D,,,11.0,S,182.0,19080.0,S,,A,,,,
61,2,227,1.002.0001,Insumos Medicamentos (farmácia),D,,,11.0,A,227.0,29.0,S,,A,,,,
61,2,210,1.002.0002,Insumos Centro Cirúrgico,D,,,,A,227.0,,S,,A,,,,
61,2,222,1.002.0003,Insumos Loja - ração,D,,,11.0,A,227.0,43.0,S,,A,,,,
61,2,226,1.002.0004,Insumos Loja - acessórios,D,,,11.0,A,227.0,17909.0,S,,A,,,,
61,2,228,1.002.0005,Insumos Loja - higiene e limpeza,D,,,11.0,A,231.0,17733.0,S,,A,,,,
61,2,224,1.002.0006,Insumos Banho e Tosa,D,,,11.0,A,227.0,18194.0,S,,A,,,,
61,2,206,1.002.0007,Insumos Clinica Médica,D,,,,A,227.0,,S,,A,,,,
61,2,201,1.002.0008,Insumos Laboratório,D,,,,A,231.0,,S,,A,,,,
61,2,203,1.002.0009,Insumos Radiologia,D,,,,A,227.0,,S,,A,,,,
61,2,233,1.002.0010,"Insumos Imagem (Eco, Eletro, US)",D,,,11.0,A,231.0,35.0,S,,A,,,,
61,2,204,1.002.0011,Insumos Hotel,D,,,,A,227.0,,S,,A,,,,
61,2,205,1.002.0012,Insumos UTI,D,,,,A,227.0,,S,,A,,,,
61,2,208,1.002.0013,"Veterinários comissionados - Salários, comissões, etc.",D,,,,A,227.0,,S,,A,,,,
61,2,218,1.002.0014,Padaria,D,,,,A,227.0,,S,,A,,,,
61,2,221,1.002.0015,Seguros,D,,,11.0,A,227.0,19079.0,S,,A,,,,
61,2,223,1.002.0016,Sindicatos,D,,,11.0,A,227.0,19081.0,S,,A,,,,
61,2,234,1.002.0018,Material de escritório,D,,,11.0,A,231.0,17716.0,S,,A,,,,
61,2,242,1.002.0019,Notificação de imposição de penalidade de multa,D,,,,A,227.0,,S,,A,,,,
61,2,235,1.003.0000,Impostos,D,,,11.0,S,182.0,19081.0,S,,A,,,,
61,2,194,1.003.0001,Impostos sobre Vendas - ISS (dia 15),D,,,,A,235.0,,S,,A,,,,
61,2,197,1.003.0002,Encargos Sociais - Previdência Social - GPS/INSS (dia 20),D,,,,A,235.0,,S,,A,,,,
61,2,196,1.003.0003,Encargos Sociais - FGTS (dia 7),D,,,,A,235.0,,S,,A,,,,
61,2,198,1.003.0004,PIS / COFINS (dia 25),D,,,,A,235.0,,S,,A,,,,
61,2,199,1.003.0005,IRPJ / CSLL (trimestral dia 30),D,,,,A,235.0,,S,,A,,,,
61,2,238,1.003.0006,GARE ICMS -MGS,R,,,11.0,A,235.0,,S,,A,,,,
61,2,239,1.003.0006,GARE ICMS MGS,D,,,11.0,A,235.0,,S,,A,,,,
61,2,232,1.003.0007,IPTU,D,,,11.0,A,235.0,,S,,A,,,,
61,2,229,1.003.0008,IMPOSTO DE TAXAS SOBRE ATIVIDADES MGS,D,,,11.0,A,235.0,17721.0,S,,A,,,,
61,2,230,1.003.0009,IMPOSTO DE TAXAS SOBRE ATIVIDADES MB,D,,,4.0,A,235.0,,S,,A,,,,
61,2,237,1.003.0010,DARF RPS MB,D,,,4.0,A,235.0,,S,,A,,,,
61,2,236,1.003.0011,DARF PRÓ-LABORE MGS,D,,,11.0,A,235.0,,S,,A,,,,
61,2,240,1.003.0012,DAS DOC  DE ARREC DO SIMPLES NACIONAL MGS,D,,,,A,235.0,,S,CGSN,A,,,,
61,2,241,1.003.0013,DAS DOC DE ARREC DO SIMPLES NACIONAL MB,D,,,,A,235.0,,S,CGSN,A,,,,
61,2,188,1.004.0000,Investimentos,D,,,,A,182.0,,S,,A,,,,
61,2,189,1.004.0001,Propaganda e Publicidade,D,,,,A,188.0,,S,,A,,,,
61,2,191,1.004.0002,Consultoria,D,,,,A,188.0,,S,,A,,,,
61,2,190,1.004.0003,Obras,D,,,,A,188.0,,S,,A,,,,
61,2,192,1.004.0004,"Equipamentos, Bens, etc",D,,,,A,188.0,,S,,A,,,,
61,2,193,1.004.0005,Outros investimentos,D,,,,A,188.0,,S,,A,,,,
61,2,183,2.000.0000,Recebimentos,R,,,,S,,,S,,A,,,,
61,2,181,2.001.0000,Venda Direta,R,,,,S,183.0,,S,,A,,,,
61,2,209,2.001.0001,Venda Direta (dinheiro),R,,,4.0,A,181.0,,S,,A,,,,
61,2,217,2.001.0002,Venda Direta (cheque),R,,,,A,181.0,,S,,A,,,,
61,2,195,2.001.0003,Venda Direta (cartão de débito),R,,,,A,181.0,,S,,A,,,,
61,2,200,2.001.0004,Venda Direta (cartão de crédito),R,,,,A,181.0,,S,,A,,,,
61,2,202,2.001.0005,Venda Direta (boleto),R,,,,A,181.0,,S,,A,,,,
61,2,207,2.001.0006,Venda Direta (depósito),R,,,,A,181.0,,S,,A,,,,
61,2,220,2.001.0007,ANTECIPAÇÕES,R,,,,A,181.0,,S,ANT,A,,,,
61,2,219,2.001.0008,BONUS,R,,,,A,181.0,,S,,A,,,,
