cod_especie,nom_especie,nom_popular,nom_familia,cod_especie_imp,num_hematocrito_esp,nom_ingles,ind_especie,cod_raca,nom_raca,ind_ani_silvestre,ind_porte,cod_pelagem,tip_pelagem
2,FELINA,FELINA,FELINA,,37.0,,OU,183,ABSSINIO,N,,,
1,CANINA,CANINA,CANINA,,45.0,,OU,352,AFFENPINSCHER,N,,,
1,CANINA,CANINA,CANINA,,45.0,,OU,99,AFGHAN HOUND,N,,,
35,AVE,AVE,AVE,,,,OU,460,AGAPORNIS,N,,,
1,CANINA,CANINA,CANINA,,45.0,,OU,351,AIDI,N,,,
1,CANINA,CANINA,CANINA,,45.0,,OU,78,AIREDALE TERRIER,N,,,
1,CANINA,CANINA,CANINA,,45.0,,OU,40,AKITA,N,,,
16,AVE,AVE,,,,,OU,269,AMAZONA AVESTIVA,S,,,
1,CANINA,CANINA,CANINA,,45.0,,OU,452,AMERICAN BULLY,N,M,,C
1,CANINA,CANINA,CANINA,,45.0,,OU,114,AMERICAN ESKIMO,N,,,
1,CANINA,CANINA,CANINA,,45.0,,OU,218,AMERICAN PIT BULL TERRIER,N,,,
2,FELINA,FELINA,FELINA,,37.0,,OU,55,AMERICAN SHORT HAIR,N,,,
1,CANINA,CANINA,CANINA,,45.0,,OU,158,AMERICAN STAFFORDSHIRE ,N,,,
1,CANINA,CANINA,CANINA,,45.0,,OU,366,ANATOLIAN SHEPHERD,N,,,
5,EQUINA,EQUINA,,,,,OU,280,ANDALUZ,N,,,
7,CAPRINA,CAPRINA,,,,,OU,225,ANGLO-NUBIANA,N,,,
5,EQUINA,EQUINA,,,,,OU,61,ANGLO ARABE,N,,,
2,FELINA,FELINA,FELINA,,37.0,,OU,6,ANGORA,N,,,
4,EQUINO DE TRAÇÃO ,EQUINO DE TRAÇÃO ,,,,,OU,67,APALOOSA,N,,,
5,EQUINA,EQUINA,,,,,OU,235,ARABE,N,,,
35,AVE,AVE,AVE,,,,OU,402,ARARA,S,,,
1,CANINA,CANINA,CANINA,,45.0,,OU,231,AUSTRALIAN CATTLE DOG,N,,,
