cod_fabricante,nom_fabricante,nom_red_fabric,nro_cnpj_fabricante
195,Fisons Industrial Ltda.,,
2,AGENER UNIÃO,AGENER UNIÃO,
3,AGRODOG,AGRODOG,
4,AGROINCA,AGROINCA,
5,ALCON,ALCON,
6,ALTERNATIVE,ALTERNATIVE,
7,AMERICAN PETS,AMERICAN PETS,
8,AMIGO,AMIGO,
9,BAYER,BAYER,
10,BELLY BUDIES,BELLY BUDIES,
11,BIO PET,BIO PET,
12,BIOVET,BIOVET,
13,BOMLIXO,BOMLIXO,
14,BOVIFARM AS,BOVIFARM AS,
15,BROUWER,BROUWER,
16,BUGBILL,BUGBILL,
17,CENTAGRO,CENTAGRO,
18,CEPAV,CEPAV,
19,CHALESCO,CHALESCO,
20,CHEMKER DO BR,CHEMKER DO BR,
21,CHIC DOG,CHIC DOG,
22,CLASSIC PROD.,CLASSIC PROD.,
23,COALA,COALA,
24,COVELI,COVELI,
25,CPJMINAS,CPJMINAS,
26,CRAZY TOYS,CRAZY TOYS,
27,DELICAT,DELICAT,
28,DESCONHECIDO,DESCONHECIDO,
29,DOG CARE,DOG CARE,
30,DOG CLEAN,DOG CLEAN,
31,DOG FREE,DOG FREE,
32,DUPRAT,DUPRAT,
33,ELOFORTE,ELOFORTE,
34,EMPÓRIOPET,EMPÓRIOPET,
35,EUROFARMA,EUROFARMA,
36,FC IND E COM,FC IND E COM,
37,FORT DODGE,FORT DODGE,
38,FRALBALLOON,FRALBALLOON,
39,GRANADO,GRANADO,
40,IAMS,IAMS,
41,IBASA,IBASA,
42,INTERVET,INTERVET,
43,KELCO,KELCO,
44,KONIG,KONIG,
45,LA TOYS,LA TOYS,
46,LABYES,LABYES,
47,LCM,LCM,
48,LIMPINHO,LIMPINHO,
49,LOPESCO,LOPESCO,
50,LUISA MEL,LUISA MEL,
51,MARCOLAB,MARCOLAB,
52,MAXVET,MAXVET,
53,MERIAL,MERIAL,
54,MIRAMARPET,MIRAMARPET,
55,MUNDO ANIMAL,MUNDO ANIMAL,
56,NAIR COSMET.,NAIR COSMET.,
57,NATURAL PET,NATURAL PET,
58,NESTLE/PURINA,NESTLE/PURINA,
59,NOVARTIS,NOVARTIS,
60,ORSCO S/A,ORSCO S/A,
61,OUROFINO PET,OUROFINO PET,
62,PET CLEAN,PET CLEAN,
63,PET CLUB,PET CLUB,
64,PET IMPORT,PET IMPORT,
65,PET MAIS,PET MAIS,
66,PET NUTRITION,PET NUTRITION,
67,PET PIRA,PET PIRA,
68,PET SOCIETY,PET SOCIETY,
69,PET-DOG,PET-DOG,
70,PETDRINK,PETDRINK,
71,PETFOX,PETFOX,
72,PFIZER,PFIZER,
73,PLAST PET,PLAST PET,
74,PREMIER PET,PREMIER PET,
75,PRIMIER PET,PRIMIER PET,
76,PRO GATO,PRO GATO,
77,ROYAL CANIN,ROYAL CANIN,
78,SANTA MARINA,SANTA MARINA,
79,SCHERING,SCHERING,
80,SLICK,SLICK,
81,SÃO BENEDITO,SÃO BENEDITO,
82,SÃO FRANCISCO,SÃO FRANCISCO,
83,SÃO SIMÕES,SÃO SIMÕES,
84,TECNOPEC,TECNOPEC,
85,TOPPET,TOPPET,
86,TWINCO,TWINCO,
87,UNIVET,UNIVET,
88,VETBRANDS,VETBRANDS,
89,VETNIL,VETNIL,
90,VIRBAC,VIRBAC,
91,VIVENDA,VIVENDA,
92,WALTHAN,WALTHAN,
93,ZOO FOOD,ZOO FOOD,
94,FABRICA PET,FABRICA PET,
95,WOOF,WOOF,
113,GRAND FOOD,GRAND FOOD,
114,MASTER FOODS,MASTER FOODS,
98,SANOL DOG,SANOL DOG,
99,PHARO,PHARO,
100,ORIGINAL BIRD,ORIGINAL BIRD,
101,PETIX,PETIX,
102,HARTZ,HARTZ,
115,THEODOROS,THEODOROS,
103,ROGAMA IND E COM LTDA,ROGAMA IND E COM,
104,FOUR PAWS,FOUR PAWS,
105,TOTAL QUIMICA,TOTAL QUIMICA,
106,ANIMAL CLEAN,ANIMAL CLEAN,
107,PETISCAO,PETISCAO,
108,BRUPET,BRUPET,
117,FERPLAST,FERPLAST,
110,EIGHT IN ON PET,EIGHT IN ON PET,
111,BENTONIT,BENTONIT,
112,OIL DRI CORPORATION OF AMERICA,OIL DRI CORPORATION,
118,K9 SPIRIT,K9 SPIRIT,
119,WINDUSTRY,WINDUSTRY,
120,JMS ALIMENTACAO,JMS ALIMENTACAO,
121,CEVA SAUDE ANIMAL,CEVA SAUDE ANIMAL,
122,PETS TAGES,PETS TAGES,
123,CAT DOG,CAT DOG,
124,EFEN,EFEN,
116,FLEX,FLEX,
109,HAGEM,HAGEM,
125,CASTEL,CASTEL,
126,ART INJET,ART INJET,
127,JAMBO PET,JAMBO PET,
128,OURO PET,OURO PET,
129,GEROZAN,GEROZAN,
131,LE SALON,LE SALON,
132,DALKOM,DALKOM,
133,MONDO CANINO,MONDO CANINO,
134,JANSSEN PHARMACEUTICA,JANSSEN PHARMACEUTIC,
135,MANGO,MANGO,
136,ZANIES,ZANIES,
137,EUKANUBA,EUKANUBA,
138,CAO PAULO,CAO PAULO,
139,PERIGOT,PERIGOT,
140,CARDEAL IND. E COM. DE ALIMENTOS LTDA,BILISKO,
141,GUARDASPALLE IND. E COM. DE CONFECÇÃO LTDA-EPP,GUARDASPALLE,
142,AGROMARC PROD. VETERINARIOS LTDA EPP,AGROMARC,
143,PANETTERIA DI CANNI,PANETTERIA DI CANNI,
144,CONFECÇÃO ZINGARO SOC. LTDA. ME,NINNA-AU,
145,BILISKO,BILISKO,
146,COLTELLI,COLTELLI,
147,LUMARE,LUMARE,
148,LUF PRODUTOS AC. CÃES,LUF PRODUTOS AC. CÃE,
149,ICEPET,ICEPET,
150,VESTDOG,VESTDOC,
151,PET PARADISE,PET PARADISE,
152,GUABI NATURAL,GUABI NATURAL,
153,FUTON DOG - WENUS COM PROD UTIL LTDA ME,FUTON DOF,
154,ORGANNACT,ORGANNACT,
155,JAMBO - ROT RAI,JAMBO - ROT RAI,
