id_origem,id_os,id_admissao,dt_inclusao,cod_proprietario
0,0,12658,2015-12-16,7918
0,0,12703,2015-12-16,15048
0,0,12715,2015-12-16,19758
0,0,12797,2015-12-16,20143
0,0,12796,2015-12-17,20173
0,0,0,2015-12-18,8709
0,0,12973,2015-12-21,3734
0,0,12887,2015-12-22,2499
0,0,13657,2016-01-09,19247
0,0,13589,2016-01-09,20294
0,0,13932,2016-01-17,20342
0,0,13936,2016-01-17,19747
0,0,12322,2016-01-21,17687
0,0,14072,2016-01-21,17863
0,0,14140,2016-01-22,12892
0,0,14300,2016-01-27,20397
0,0,14517,2016-02-07,15884
0,0,14960,2016-02-14,8079
0,0,15137,2016-02-19,12146
0,0,16030,2016-03-15,19237
0,0,15956,2016-03-16,19438
0,0,16456,2016-03-27,20648
0,0,16580,2016-03-30,498
0,0,16983,2016-04-10,3550
0,0,17585,2016-04-27,5204
0,0,17581,2016-04-27,5204
0,0,17593,2016-04-27,1598
0,0,17794,2016-05-04,12650
0,0,18315,2016-05-18,12146
0,0,18365,2016-05-20,20857
0,0,18529,2016-05-25,8492
0,0,18626,2016-05-28,20903
0,0,18624,2016-05-28,20009
0,0,18660,2016-05-31,20906
0,0,18709,2016-05-31,19974
0,0,18843,2016-06-08,5787
0,0,18970,2016-06-09,20792
0,0,19437,2016-07-01,1932
0,0,19844,2016-07-05,21037
0,0,19911,2016-07-07,12132
0,0,19963,2016-07-09,19438
0,0,20022,2016-07-09,20574
0,0,20010,2016-07-09,21064
0,0,20699,2016-07-26,21151
0,0,21247,2016-08-10,20672
0,0,21275,2016-08-11,17906
0,0,22237,2016-09-10,17845
0,0,22349,2016-09-13,21321
0,0,22369,2016-09-14,18601
0,0,22396,2016-09-15,15127
0,0,23316,2016-10-15,19475
0,0,23514,2016-10-24,17906
0,0,23944,2016-11-01,2058
0,0,24397,2016-11-18,21611
0,0,24449,2016-11-19,2825
0,0,25445,2016-12-18,21713
0,0,25444,2016-12-18,19784
0,0,25619,2016-12-23,21738
0,0,25913,2016-12-31,5204
0,0,26450,2017-01-13,15906
0,0,27411,2017-02-06,21932
0,0,28175,2017-02-26,21937
0,0,30500,2017-05-01,21322
0,0,31413,2017-05-24,22074
0,0,31390,2017-05-28,17906
0,0,31546,2017-05-28,2433
0,0,31962,2017-06-11,22259
0,0,32056,2017-06-13,22374
0,0,32149,2017-06-19,20458
0,0,32280,2017-06-24,21895
0,0,32823,2017-07-10,22481
0,0,33636,2017-08-06,22577
0,0,33712,2017-08-08,20899
0,0,34883,2017-09-15,22749
0,0,34998,2017-09-18,22773
0,0,35266,2017-09-26,20958
0,0,35324,2017-09-27,17906
0,0,35877,2017-10-16,17906
0,0,36335,2017-10-25,18654
0,0,37479,2017-11-29,23041
0,0,38059,2017-12-11,23097
0,0,38100,2017-12-23,3
0,0,40176,2018-02-05,23341
0,0,41868,2018-03-30,22883
0,0,42416,2018-04-16,23345
0,0,42637,2018-05-01,16119
0,0,42949,2018-05-08,2377
0,0,43527,2018-05-22,23758
0,0,44047,2018-06-10,16143
0,0,44094,2018-06-19,23705
0,0,44800,2018-07-01,23896
0,0,45525,2018-07-31,23975
0,0,47563,2018-09-22,12874
0,0,48193,2018-10-15,23705
0,0,48355,2018-10-17,6103
0,0,48742,2018-10-30,4209
0,0,48876,2018-11-04,16681
0,0,48940,2018-11-04,12200
0,0,49103,2018-11-08,24427
0,0,49369,2018-11-16,24457
0,0,49712,2018-11-24,23705
0,0,50765,2018-12-21,17571
0,0,50786,2018-12-30,23705
0,0,51348,2019-01-13,23705
0,0,51939,2019-01-29,24075
0,0,51963,2019-02-01,11963
0,0,51391,2019-02-01,23705
0,0,52627,2019-02-20,24871
1,0,57550,2019-08-05,608
1,0,57524,2019-08-05,25459
1,104807,0,2019-08-05,5
4,0,57553,2019-08-05,24730
1,0,57554,2019-08-05,1875
1,104809,0,2019-08-05,17317
1,0,57556,2019-08-05,17858
1,0,57557,2019-08-05,25199
1,0,57558,2019-08-05,21550
1,0,57559,2019-08-05,7161
1,0,57562,2019-08-05,25343
4,0,57563,2019-08-05,25465
1,0,57565,2019-08-05,24139
3,0,57565,2019-08-05,24139
1,104823,0,2019-08-05,24752
1,104824,0,2019-08-05,17800
1,0,57566,2019-08-05,24358
3,0,57567,2019-08-05,24579
1,0,57569,2019-08-05,25342
1,0,57570,2019-08-05,18004
1,104828,0,2019-08-05,9645
1,0,57571,2019-08-05,17659
1,104829,0,2019-08-05,11367
1,104830,0,2019-08-05,13404
4,0,57574,2019-08-05,25466
1,0,57575,2019-08-06,19547
1,0,57577,2019-08-06,19541
1,0,57578,2019-08-06,22873
1,0,57579,2019-08-06,16786
1,0,57580,2019-08-06,24970
3,104844,0,2019-08-06,25467
2,0,57583,2019-08-06,24933
1,0,57584,2019-08-06,23294
4,0,57589,2019-08-06,25468
3,0,57590,2019-08-06,25469
1,0,57591,2019-08-06,7292
1,0,57595,2019-08-06,14330
4,0,57597,2019-08-06,25470
3,0,57598,2019-08-06,25471
1,0,57599,2019-08-06,25439
6,0,57600,2019-08-06,25472
1,0,57603,2019-08-07,24187
1,0,57606,2019-08-07,24759
1,0,57607,2019-08-07,24413
1,0,57608,2019-08-07,24245
1,0,57611,2019-08-07,12128
1,0,57612,2019-08-07,17713
1,0,57613,2019-08-07,25442
1,0,57615,2019-08-07,19083
1,0,57616,2019-08-07,22822
1,0,57617,2019-08-07,8716
1,0,57618,2019-08-07,25011
1,0,57624,2019-08-07,19774
3,0,57625,2019-08-07,25474
1,0,57620,2019-08-07,25404
3,0,57622,2019-08-07,25473
3,0,57626,2019-08-07,24235
1,104911,0,2019-08-07,19284
1,0,57629,2019-08-07,57
1,0,57634,2019-08-08,24705
1,0,57636,2019-08-08,17918
1,0,57637,2019-08-08,13951
1,0,57639,2019-08-08,25458
