cod_setor,cod_grp_prod,ind_sit_produto,nom_grp_produto,sigla_grp_prod,cod_produto,id_produto,nom_prod_compra,ind_prod_estocavel,cod_unid_estoque,sigla_unid_estoque,nom_unid_estoque,cod_unid_consumo,sigla_unid_consumo,nom_unid_consumo,cod_fabricante
1,2,AP,BIOQUIMICO,SADT,39,39,GLICEMIA (CONSULTORIO),S,64,UND,UNIDADE,64,UND,UNIDADE,
7,3,IN,HORMONIOS,SADT,70,70,TOTAL T4 (PROVET),N,64,UND,UNIDADE,64,UND,UNIDADE,
15,13,AP,HEMOTERAPIA,SADT,115,115,BOLSA PARA TRANSFUSÃO VAZIA,S,64,UND,UNIDADE,64,UND,UNIDADE,
11,9,AP,IMUNOLOGIA,SADT,327,327,SOROLOGIA ANAPLASMA / LYME / DIRO / ERLICHIOSE  (SNAP DX4),N,64,UND,UNIDADE,64,UND,UNIDADE,
7,4,AP,HEMATOLOGIA,SADT,547,547,TESTE DE CETONA SANGUINEA,S,64,UND,UNIDADE,64,UND,UNIDADE,
84,300,AP,MED - ANTIBIOTICOS,MED,607,607,ANTITóXICO SM ORAL FR 20 ML,N,64,UND,UNIDADE,64,UND,UNIDADE,161.0
84,300,AP,MED - ANTIBIOTICOS,MED,610,610,IODAVE SM FA 20 ML,N,64,UND,UNIDADE,64,UND,UNIDADE,161.0
84,300,AP,MED - ANTIBIOTICOS,MED,612,612,"FERRO SM FR 20, 100 E 1.000 ML",N,64,UND,UNIDADE,64,UND,UNIDADE,161.0
84,300,AP,MED - ANTIBIOTICOS,MED,616,616,ANTITóXICO SM AVíCOLA FR 1.000 E 5.000 ML,N,64,UND,UNIDADE,64,UND,UNIDADE,161.0
84,300,AP,MED - ANTIBIOTICOS,MED,618,618,IOGAD SM FA 100 ML,N,64,UND,UNIDADE,64,UND,UNIDADE,161.0
84,300,AP,MED - ANTIBIOTICOS,MED,619,619,SABãO SM TABLETES DE 100 G,N,64,UND,UNIDADE,64,UND,UNIDADE,161.0
84,300,AP,MED - ANTIBIOTICOS,MED,620,620,ZENTRAT SM ,N,64,UND,UNIDADE,64,UND,UNIDADE,161.0
84,300,AP,MED - ANTIBIOTICOS,MED,623,623,BEDOZE SM FA 20 ML,N,64,UND,UNIDADE,64,UND,UNIDADE,161.0
84,300,AP,MED - ANTIBIOTICOS,MED,624,624,BAOL SM FR 4X20 ML,N,64,UND,UNIDADE,64,UND,UNIDADE,161.0
84,300,AP,MED - ANTIBIOTICOS,MED,625,625,"ANTITóXICO SM INJETáVEL FA 20, 50 E 100 ML",N,64,UND,UNIDADE,64,UND,UNIDADE,161.0
84,300,AP,MED - ANTIBIOTICOS,MED,630,630,HELMINTRAT SM FR 30 ML,N,64,UND,UNIDADE,64,UND,UNIDADE,161.0
84,300,AP,MED - ANTIBIOTICOS,MED,632,632,PUL-DOG FR 100 ML,N,64,UND,UNIDADE,64,UND,UNIDADE,162.0
84,300,AP,MED - ANTIBIOTICOS,MED,642,642,KETAMINA AGENER CXA COM 1 FA 10ML.,S,70,ML,ML,70,ML,ML,163.0
69,82,AP,PET SHOP - SHAMPO MEDICAMENTOSO,PET,646,646,GARMA IGR- SHAMPOO FR 200ml,S,64,UND,UNIDADE,64,UND,UNIDADE,163.0
84,300,AP,MED - ANTIBIOTICOS,MED,649,649,"VETOQUINOL Pó SOLúVEL FR 75G, 100G, 150G, 200, 1KG E 5KG.",N,64,UND,UNIDADE,64,UND,UNIDADE,163.0
84,300,IN,MED - ANTIBIOTICOS,MED,650,650,AGEMOXI L.A,S,64,UND,UNIDADE,64,UND,UNIDADE,163.0
84,300,AP,MED - ANTIBIOTICOS,MED,658,658,MATA BICHEIRA AGRIPEC AEROSOL 500 ML,N,64,UND,UNIDADE,64,UND,UNIDADE,164.0
84,300,AP,MED - ANTIBIOTICOS,MED,659,659,"KATTOX FR 20, 100 E 1.000 ML",N,64,UND,UNIDADE,64,UND,UNIDADE,164.0
84,300,AP,MED - ANTIBIOTICOS,MED,662,662,MATACURA TABLETES DE 86 G,N,64,UND,UNIDADE,64,UND,UNIDADE,166.0
84,300,AP,MED - ANTIBIOTICOS,MED,665,665,"DILUENTE L NOBILIS FR 600, 800 E 1.000 ML.",N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,667,667,NOBI-VAC AUGESZKY (GL) FA 10 E 50 DOSES,N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,669,669,FOLLIGON 5000 UI CXA COM 1 FR-AMP DE 5000 UI E UMA AMP DE 25ML COM DILUENTE.,N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,673,673,"NOBILIS IB MA5 FA 1.000, 2.500 E 5.000 DOSES CXA 10FR 1.000, 2.500 E 5.000 DOSES.",N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,677,677,NOBILIS IB + ND MA5 + CLONE 30 FA 1000 E 2500 DOSES CXA 10FR 1000 E 2500 DOSES.,N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,679,679,"NOBILIS GUMBORO D78 FA 1000, 2500 E 5000 DOSES CXA 10FR 1000, 2500 E 5000 DOSES.",N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,684,684,NOBILIS IB+ND+EDS FR 500 ML COM 1000 DOSES.,N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,686,686,"NOBIVAC L FA 1ML, ACONDICIONANDO EM CAIXA 10 FAS.",N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,687,687,DILUENTE CA NOBILIS FR 200 E 400 ML.,N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,688,688,NOBILIS REO+IB+G+ND FR 500 ML COM 1000 DOSES.,N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,691,691,DILUENTE ON NOBILIS FR 35 ML (1.000 DOSES),N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,692,692,P.G. 600 CXA 5 FA DE UMA DOSE (LIOFILIZADA) CADA E 5 AMP COM 5ML DE DILUENTE CADA.,N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,693,693,NOBILIS IB H-120 FA 1000 E 2500 DOSES CXA 10FR 1000 OU 2500 DOSES.,N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,694,694,NOBILIS ND LA SOTA FA 1000 E 2500 DOSES CXA 10FR 1000 OU 2500 DOSES.,N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,695,695,NOBILIS TRT INAC FA 500 ML COM 1000 DOSES.,N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,697,697,"PROSOLVIN FR 10 E 20ML. 
FA 2ML CXA 10 FRS.",N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,698,698,RISMAVAC NOBILIS AMP 1000 DOSES.,N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,699,699,NOBILIS AE 1143 FA DE 1000 DOSES.,N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,701,701,NOBILIS ND HITCHNER FA 1000 E 2500 DOSES CXA 10FR 1000 E 2500 DOSES.,N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,703,703,NOBILIS REO INAC FR 500 ML COM 1000 DOSES.,N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,704,704,NOBILIS G+ND INAC FA 500 ML COM 1000 DOSES.,N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,705,705,NOBILIS EDS FR 500 ML COM 1000 DOSES.,N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,707,707,NOBILIS IB+G+ND FR 500 ML COM 1000 DOSES.,N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,708,708,NOBIVAC RAIVA FA 1 DOSE OU 10 DOSES CXA 10 FRS.,S,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,710,710,"NOBILIS E. COLI FA 500 ML, COM 1000 DOSES.",N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,712,712,NOBILIS GUMBORO INAC FR 500 ML COM 1000 DOSES.,N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,713,713,NOBIVAC DH FA VIDRO 1 ML CAIXA COLETIVA 10FR 1 ML.,N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,716,716,NOBI-VAC CORYZA FR 500 ML COM 1000 DOSES.,N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,718,718,NOBILIS IB+ND INAC FR 500 ML COM 1000 DOSES.,N,64,UND,UNIDADE,64,UND,UNIDADE,167.0
84,300,AP,MED - ANTIBIOTICOS,MED,730,730,BAYTICOL POUR ON FR AUTODOSADOR C/ 1 LITRO,N,64,UND,UNIDADE,64,UND,UNIDADE,170.0
84,300,AP,MED - ANTIBIOTICOS,MED,734,734,BAYPAMUN H C/ 5 FA LIOF. E 5 AMP DE DILUENTE,N,64,UND,UNIDADE,64,UND,UNIDADE,170.0
84,300,AP,MED - ANTIBIOTICOS,MED,737,737,NEGUVON EMB 150 E 500 G.,N,64,UND,UNIDADE,64,UND,UNIDADE,170.0
84,300,AP,MED - ANTIBIOTICOS,MED,739,739,BAYVERM FA 250 ML.,N,64,UND,UNIDADE,64,UND,UNIDADE,170.0
84,300,AP,MED - ANTIBIOTICOS,MED,742,742,BAYPAMUN DC C/ 10 FA LIOFILIZADO E 10 AMP DE DILUENTE,N,64,UND,UNIDADE,64,UND,UNIDADE,170.0
84,300,AP,MED - ANTIBIOTICOS,MED,745,745,VETRIDERM CERUMINOLíTICO PARA CãES FR 100ML.,N,64,UND,UNIDADE,64,UND,UNIDADE,170.0
84,300,AP,MED - ANTIBIOTICOS,MED,748,748,BAYTRIL PIG DOSER FRS DOSADORES COM 100 ML.,N,64,UND,UNIDADE,64,UND,UNIDADE,170.0
84,300,AP,MED - ANTIBIOTICOS,MED,751,751,LEGEND 2FR 2ML CADA.,N,64,UND,UNIDADE,64,UND,UNIDADE,170.0
84,300,AP,MED - ANTIBIOTICOS,MED,755,755,VETRIDERM CLOREXIDINE FR 250ML.,N,64,UND,UNIDADE,64,UND,UNIDADE,170.0
84,300,AP,MED - ANTIBIOTICOS,MED,757,757,VETRIDERM SPRAY ANTIPRURIGINOSO FR 100ML.,N,64,UND,UNIDADE,64,UND,UNIDADE,170.0
84,300,AP,MED - ANTIBIOTICOS,MED,758,758,BOVITRAZ EMB 200 E 800 ML.,N,64,UND,UNIDADE,64,UND,UNIDADE,170.0
84,300,AP,MED - ANTIBIOTICOS,MED,759,759,XILAZINA / ANASEDAN  ML,N,70,ML,ML,70,ML,ML,
84,300,AP,MED - ANTIBIOTICOS,MED,760,760,BAYTRIL INJETáVEL  5% FRS C/ 10 ML,N,64,UND,UNIDADE,64,UND,UNIDADE,170.0
84,300,AP,MED - ANTIBIOTICOS,MED,762,762,BAYOFLY POUR ON FR AUTODOSADOR DE 1 LITRO,N,64,UND,UNIDADE,64,UND,UNIDADE,170.0
84,300,AP,MED - ANTIBIOTICOS,MED,764,764,CALFON FA 200 ML,N,64,UND,UNIDADE,64,UND,UNIDADE,170.0
84,300,AP,MED - ANTIBIOTICOS,MED,766,766,BAYTICOL PLUS POUR ON FR AUTODOSADOR C/ 1 LITRO,N,64,UND,UNIDADE,64,UND,UNIDADE,170.0
84,300,AP,MED - ANTIBIOTICOS,MED,767,767,TIGUVON 15 SPOT ON EMB AUTODOSIFICADORAS DE 1 LITRO,N,64,UND,UNIDADE,64,UND,UNIDADE,170.0
84,300,AP,MED - ANTIBIOTICOS,MED,771,771,BAYTRIL SOLUçãO 10% FA 1 LITRO COM DOSADOR.,N,64,UND,UNIDADE,64,UND,UNIDADE,170.0
84,300,AP,MED - ANTIBIOTICOS,MED,774,774,BAYTRIL INJETáVEL 10% FRS C/ 10 E 50 ML,N,64,UND,UNIDADE,64,UND,UNIDADE,170.0
84,300,AP,MED - ANTIBIOTICOS,MED,776,776,BAYCOX FA 1 LITRO.,N,64,UND,UNIDADE,64,UND,UNIDADE,170.0
84,300,AP,MED - ANTIBIOTICOS,MED,777,777,NEGUVON INJETáVEL FRS C/ 250 E 500 ML,N,64,UND,UNIDADE,64,UND,UNIDADE,170.0
84,300,AP,MED - ANTIBIOTICOS,MED,778,778,ZANTEC FA 200 ML.,N,64,UND,UNIDADE,64,UND,UNIDADE,171.0
84,300,AP,MED - ANTIBIOTICOS,MED,779,779,BIOZEN GALãO 5 LITROS.,N,64,UND,UNIDADE,64,UND,UNIDADE,171.0
84,300,AP,MED - ANTIBIOTICOS,MED,784,784,BIOVON FA 200 ML.,N,64,UND,UNIDADE,64,UND,UNIDADE,171.0
84,300,AP,MED - ANTIBIOTICOS,MED,785,785,BIOTOX FR 40 OU 500 ML.,N,64,UND,UNIDADE,64,UND,UNIDADE,171.0
84,300,AP,MED - ANTIBIOTICOS,MED,788,788,BIOKILL FR 200ML.,N,64,UND,UNIDADE,64,UND,UNIDADE,171.0
84,300,AP,MED - ANTIBIOTICOS,MED,790,790,LAYERMUNE 3 FA 500ML COM 1.000 DOSES.,N,64,UND,UNIDADE,64,UND,UNIDADE,172.0
84,300,AP,MED - ANTIBIOTICOS,MED,791,791,LAYERMUNE SE FA 500ML COM 1.000 DOSES.,N,64,UND,UNIDADE,64,UND,UNIDADE,172.0
84,300,AP,MED - ANTIBIOTICOS,MED,792,792,"LEYERMUNE MR3 FA 500 ML COM 1.000 DOSES. 
 
",N,64,UND,UNIDADE,64,UND,UNIDADE,172.0
84,300,AP,MED - ANTIBIOTICOS,MED,793,793,LEOCILIN INJETáVEL CXA 5 FA DA DROGA E 5FR DILUENTE.,N,64,UND,UNIDADE,64,UND,UNIDADE,173.0
84,300,AP,MED - ANTIBIOTICOS,MED,796,796,TIAMUTIN SOLUçãO INJETáVEL 10% FA 50 ML E 100 ML.,N,64,UND,UNIDADE,64,UND,UNIDADE,173.0
84,300,AP,MED - ANTIBIOTICOS,MED,800,800,"VETRIM VELAS 30 TABLETES( 6,0 G) EFERVESCENTES 6 G CADA TABLETE",N,64,UND,UNIDADE,64,UND,UNIDADE,173.0
84,300,AP,MED - ANTIBIOTICOS,MED,801,801,BIVATOP 200 FA 100 ML.,N,64,UND,UNIDADE,64,UND,UNIDADE,173.0
84,300,AP,MED - ANTIBIOTICOS,MED,802,802,SEDIVET FA VIDRO 20 ML,N,64,UND,UNIDADE,64,UND,UNIDADE,173.0
84,300,AP,MED - ANTIBIOTICOS,MED,805,805,BAR 3 FA 50 ML.,N,64,UND,UNIDADE,64,UND,UNIDADE,173.0
84,300,AP,MED - ANTIBIOTICOS,MED,806,806,"PULMICORT 0,5 MG/ML SUSP.",N,64,UND,UNIDADE,64,UND,UNIDADE,173.0
84,300,AP,MED - ANTIBIOTICOS,MED,807,807,BISOLVOMYCINA FA 100 ML.,N,64,UND,UNIDADE,64,UND,UNIDADE,173.0
84,300,AP,MED - ANTIBIOTICOS,MED,812,812,TOMANOL FA DE 10 E 50 ML,N,64,UND,UNIDADE,64,UND,UNIDADE,173.0
84,300,AP,MED - ANTIBIOTICOS,MED,814,814,PATRIOT EAR TAG BRINCOS INSETICIDAS -CXA 2 ENV DE 10 BRINCOS INSETICIDAS CADA E 2 ENV DE 10 CONTRA-P,N,64,UND,UNIDADE,64,UND,UNIDADE,173.0
84,300,AP,MED - ANTIBIOTICOS,MED,816,816,HIGIVEX 50 FR 1 LITRO E GALãO DE 20 LITROS,N,64,UND,UNIDADE,64,UND,UNIDADE,173.0
84,300,AP,MED - ANTIBIOTICOS,MED,818,818,FINALGON LINIMENTO FA 100 ML.,N,64,UND,UNIDADE,64,UND,UNIDADE,173.0
84,300,AP,MED - ANTIBIOTICOS,MED,819,819,BISOLVON FA DE 50 ML.,N,64,UND,UNIDADE,64,UND,UNIDADE,173.0
84,300,AP,MED - ANTIBIOTICOS,MED,820,820,PLASMOVET FR C/ Pó + AMPOLA SOL. 5 ML,N,64,UND,UNIDADE,64,UND,UNIDADE,174.0
84,300,AP,MED - ANTIBIOTICOS,MED,821,821,COBRIRON FR 50 ML.,N,64,UND,UNIDADE,64,UND,UNIDADE,174.0
84,300,AP,MED - ANTIBIOTICOS,MED,826,826,IODORET FR 50 ML,N,64,UND,UNIDADE,64,UND,UNIDADE,174.0
84,300,AP,MED - ANTIBIOTICOS,MED,828,828,HIPIRON SOLUçãO INJETáVEL CXA COM 4 FASCOS-AMP 50 ML,N,64,UND,UNIDADE,64,UND,UNIDADE,175.0
84,300,AP,MED - ANTIBIOTICOS,MED,830,830,VECTON COMPOSTO FA 1.000 ML,N,64,UND,UNIDADE,64,UND,UNIDADE,176.0
