cod_tab_preco,nom_tab_preco,ind_ajuste,perc_ajuste,ind_tab_padrao,perc_urgencia,cod_unid_oper,cod_unid_negoc,ind_situacao,cod_tab_desc_progres,ind_aceita_bonus,ind_plano_saude,cod_produto,dat_vigencia,vlr_produto,vlr_prod_urg,vlr_cus_prod,vlr_cus_medio,perc_mrg_lucro,vlr_desc_comis,vlr_desc_apoio,vlr_prod_complementar,vlr_ultima_compra
1,PADRAO,N,25.0,S,0.0,1,61,A,4.0,N,N,5365,2021-02-26,9.0,9.0,2.45,2.444,200.0,0.0,0.0,0.0,2.45
1,PADRAO,N,25.0,S,0.0,1,61,A,4.0,N,N,4752,2022-02-24,3.0,3.0,0.402,0.351,300.0,0.0,0.0,0.0,0.402
1,PADRAO,N,25.0,S,0.0,1,61,A,4.0,N,N,9481,2022-06-17,38.0,38.0,27.039,-3548.856,50.0,0.0,0.0,0.0,27.039
1,PADRAO,N,25.0,S,0.0,1,61,A,4.0,N,N,9890,2021-04-15,19.2,19.2,24.173,22.538,5.0,24.4,,,24.173
1,PADRAO,N,25.0,S,0.0,1,61,A,4.0,N,N,5369,2021-01-08,1.0,1.0,0.117,0.082,1.0,0.117,0.0,,0.117
1,PADRAO,N,25.0,S,0.0,1,61,A,4.0,N,N,1892,2022-06-15,36.0,36.0,3.72,20.17,50.0,0.0,0.0,0.0,3.72
1,PADRAO,N,25.0,S,0.0,1,61,A,4.0,N,N,9757,2022-06-15,97.0,97.0,61.095,-970.409,50.0,0.0,0.0,0.0,61.095
1,PADRAO,N,25.0,S,0.0,1,61,A,4.0,N,N,3004,2021-04-15,2.5,2.5,1.314,1.333,200.0,1.314,0.0,,1.314
1,PADRAO,N,25.0,S,0.0,1,61,A,4.0,N,N,5793,2022-06-15,10.0,10.0,0.42,0.419,300.0,0.0,0.0,0.0,0.42
1,PADRAO,N,25.0,S,0.0,1,61,A,4.0,N,N,5846,2021-04-15,38.0,38.0,7.508,-112.261,300.0,0.0,0.0,0.0,7.508
1,PADRAO,N,25.0,S,0.0,1,61,A,4.0,N,N,5535,2022-10-07,4.0,4.0,0.51,0.515,200.0,26.513,0.0,,0.51
1,PADRAO,N,25.0,S,0.0,1,61,A,4.0,N,N,10478,2022-06-15,882.0,0.0,882.0,573.3,,,,,573.3
1,PADRAO,N,25.0,S,0.0,1,61,A,4.0,N,N,4295,2021-04-15,25.0,25.0,10.894,-33.105,200.0,0.0,0.0,0.0,10.894
1,PADRAO,N,25.0,S,0.0,1,61,A,4.0,N,N,10477,2022-06-15,225.0,0.0,225.0,146.25,,,,,146.25
1,PADRAO,N,25.0,S,0.0,1,61,A,4.0,N,N,8733,2022-06-15,504.0,504.0,504.0,,50.0,0.0,0.0,,
1,PADRAO,N,25.0,S,0.0,1,61,A,4.0,N,N,5536,2021-04-15,4.0,4.0,0.387,0.314,30.0,0.46,0.0,,0.387
1,PADRAO,N,25.0,S,0.0,1,61,A,4.0,N,N,4295,2021-04-20,33.0,33.0,10.89,0.0,200.0,0.0,0.0,0.0,0.0
1,PADRAO,N,25.0,S,0.0,1,61,A,4.0,N,N,9501,2021-01-26,24.0,24.0,22.17,16.838,50.0,22.17,0.0,,22.17
