cod_unid_oper,cod_clinica,cod_veterinario,cod_proprietario,cod_animal,nom_animal,cod_especie,nom_especie,cod_raca,nom_raca,cod_pelagem,pel,desc_pelagem,ind_ani_silvestre,dth_aniversario,ind_sexo,nro_micro_chip,nro_rg_animal,id_tatuagem,peso_animal,ind_porte,ind_pedigree,ind_castrado,ind_alergico,ind_ctrl_vacina,cod_antigo,nro_registro,ind_obito,dth_obito,ind_doacao,tip_pelagem,cod_anim_solic,ind_doenca_cronica,txt_alergia,txt_doenca_cronica,obs_animal,usr_codigo,ind_excluido,dth_exclusao,dth_cadastro,dat_ult_visita
1,2,4,6205.0,10455,-,1,CANINA,27,ROTTWEILER,3.0,"(3,ABRICOT)",ABRICOT,N,1899-12-30,M,,0,,0.0,G,N,N,N,N,10450.0,,S,,N,,,,,,,,N,,2011-03-21,2010-07-28
1,2,7,4551.0,12208,---,1,CANINA,2,SRD CANINO,439.0,"(439,""PRETA E CANELA"")",PRETA E CANELA,N,1997-05-07,F,,,,,P,,S,,,,,N,,N,,,,,,,,,,2012-05-07,
1,2,4,9408.0,15502, JADE,1,CANINA,59,SHIH-TZU,399.0,"(399,PARTICOLOR)",PARTICOLOR,N,2014-02-24,F,,,,5.4,M,,N,,,,,N,,N, ,,,,,,,,,2015-04-02,
1,2,8790,5640.0,15925,",",1,CANINA,2,SRD CANINO,438.0,"(438,""PRETA E BRANCA"")",PRETA E BRANCA,N,2002-08-15,F,,,,,M,,S,,,,,N,,N, ,,,,,,,,,2015-08-15,
1,2,8790,5640.0,15924,.,1,CANINA,2,SRD CANINO,133.0,"(133,""BRANCA E PRETA"")",BRANCA E PRETA,N,2002-08-15,F,,,,,M,,S,,,,,N,,N, ,,,,,,,,,2015-08-15,
1,2,4,7165.0,11690,a,1,CANINA,22,SCHNAUZER MÉDIO,272.0,"(272,CINZA)",CINZA,N,2011-09-06,M,,,,2.2,P,,N,,S,,,N,,N,,,,,,,,,,2011-10-26,
1,2,12877,8674.0,22534,A DEFINIR,1,CANINA,2,SRD CANINO,0.0,,,N,2021-09-21,M,,,,16.0,,,N,,,,,N,,N, ,,,,,,,,,2022-09-21,2022-09-21
1,2,10738,2.0,11609,AAO CONSUMIDOR,1,CANINA,2,SRD CANINO,233.0,"(233,CARACTERISTICAS)",CARACTERISTICAS,N,2009-09-20,I,,,,,M,S,S,N,S,,,N,,N,,,,,,,,,,2011-09-20,
1,2,4,2.0,9836,AAO CONSUMIDOR,1,CANINA,2,SRD CANINO,233.0,"(233,CARACTERISTICAS)",CARACTERISTICAS,N,2001-07-27,F,,,,13.0,M,N,S,N,S,9836.0,,N,,N,,,,,,,,N,,2011-03-21,2011-03-17
1,2,7,8510.0,13953,AARON,2,FELINA,50,PERSA,399.0,"(399,PARTICOLOR)",PARTICOLOR,N,2007-06-20,M,,,,2.3,P,,S,,,,,S,2016-03-18 12:28:48.000,N, ,,,,,,,,,2013-12-16,
