cod_especie,nom_especie,nom_popular,nom_familia,cod_especie_imp,num_hematocrito_esp,nom_ingles,ind_especie,cod_raca,nom_raca,ind_ani_silvestre,ind_porte,cod_pelagem,tip_pelagem
2,FELINA,FELINA,FELINA,,,FELINE,OU,183,ABSSINIO,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,99,AFGHAN HOUND,N,,,
24,PEIXE,PEIXE,PEIXE,,,FISH,OU,291,AGAPONIS,S,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,78,AIREDALE TERRIER,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,40,AKITA,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,407,AMERICAN BULLY,N,G,233.0,C
1,CANINA,CANINA,CANINA,,,CANINE,OU,114,AMERICAN ESKIMO,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,218,AMERICAN PIT BULL TERRIER,N,,,
2,FELINA,FELINA,FELINA,,,FELINE,OU,55,AMERICAN SHORT HAIR,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,158,AMERICAN STAFFORDSHIRE ,N,,,
5,EQUINA,EQUINA,,,,EQUINE,OU,280,ANDALUZ,N,,,
7,CAPRINA,CAPRINA,,,,CAPRINE,OU,225,ANGLO-NUBIANA,N,,,
5,EQUINA,EQUINA,,,,EQUINE,OU,61,ANGLO ARABE,N,,,
2,FELINA,FELINA,FELINA,,,FELINE,OU,6,ANGORA,N,,,
4,EQUINO DE TRAÇÃO ,EQUINO DE TRAÇÃO ,,,,EQUINE,OU,67,APALOOSA,N,,,
5,EQUINA,EQUINA,,,,EQUINE,OU,235,ARABE,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,231,AUSTRALIAN CATTLE DOG,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,186,AUSTRALIAN SHEPHERD,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,243,AUSTRALIAN SILKY TERRIER,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,113,AUSTRALIAN TERRIER,N,,,
2,FELINA,FELINA,FELINA,,,FELINE,OU,234,BALINESE,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,115,BASSENGI,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,82,BASSET HOUND,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,46,BEAGLE,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,285,BEARD COLLIE,N,,,
2,FELINA,FELINA,FELINA,,,FELINE,OU,185,BENGAL,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,35,BERNESE MOUNTAIN DOG,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,69,BICHON FRISE,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,410,BICHON FRISÉ C/ LHASA APSO,N,M,,M
