id_origem,id_os,id_admissao,dt_inclusao,cod_proprietario
0,0,72832,2018-04-04,10538
0,0,0,2018-04-04,4743
0,0,72830,2018-04-04,9689
0,0,72836,2018-04-04,11271
0,0,73530,2018-05-07,9389
0,0,73814,2018-05-16,11246
0,0,73816,2018-05-16,11067
0,0,74186,2018-06-02,8713
0,0,74412,2018-06-13,10322
0,0,0,2018-06-13,10983
0,0,74556,2018-06-25,10870
0,0,74613,2018-06-25,9689
0,0,74695,2018-06-28,11400
0,0,74951,2018-07-10,7370
0,0,74964,2018-07-11,11178
0,0,74983,2018-07-12,11416
0,0,75157,2018-07-21,7231
0,0,75193,2018-07-23,11206
0,0,75447,2018-08-03,2009
0,0,77165,2018-10-17,8970
0,0,78117,2018-11-27,11541
0,0,78232,2018-12-02,8655
0,0,78665,2018-12-17,9431
0,0,78613,2018-12-17,11613
0,0,79353,2019-01-17,11682
0,0,80013,2019-02-11,10638
0,0,80717,2019-03-15,11782
0,0,80891,2019-03-23,9961
0,0,81044,2019-03-27,9101
0,0,81074,2019-03-29,5901
0,0,81533,2019-04-16,11805
0,0,82110,2019-05-08,11864
0,0,82251,2019-05-14,8970
0,0,82260,2019-05-14,7919
0,0,82269,2019-05-14,9886
0,0,82322,2019-05-16,11886
6,66558,0,2019-05-22,6796
1,0,82341,2019-05-22,11879
6,0,82458,2019-05-22,5097
3,0,82463,2019-05-22,11887
5,0,82461,2019-05-22,11872
6,0,82470,2019-05-22,10730
1,0,82470,2019-05-22,10730
6,0,82471,2019-05-22,11249
5,0,82473,2019-05-22,11844
6,0,82474,2019-05-22,3274
7,0,82475,2019-05-22,11900
6,0,82477,2019-05-22,10961
6,0,82478,2019-05-22,1951
1,66573,0,2019-05-22,11009
6,0,82479,2019-05-23,1920
6,0,82480,2019-05-23,8925
3,0,82481,2019-05-23,7054
5,0,82482,2019-05-23,11901
6,0,82483,2019-05-23,5286
5,66577,0,2019-05-23,10652
3,66579,0,2019-05-23,11846
6,0,82486,2019-05-23,2425
6,0,82487,2019-05-23,9962
3,0,82488,2019-05-23,11018
6,0,82490,2019-05-23,11735
6,0,82491,2019-05-23,11540
6,0,82492,2019-05-23,11881
6,0,82493,2019-05-23,10555
1,0,82494,2019-05-23,11904
6,0,82495,2019-05-23,4172
6,0,82497,2019-05-23,8491
6,0,82498,2019-05-23,10630
6,0,82499,2019-05-23,8995
5,0,82500,2019-05-24,8049
3,0,82501,2019-05-24,11841
6,0,82503,2019-05-24,2695
6,0,82504,2019-05-24,3747
6,0,82506,2019-05-24,3094
6,0,82507,2019-05-24,2092
7,0,82508,2019-05-24,10321
3,0,82511,2019-05-24,3212
6,0,82514,2019-05-24,8032
3,0,82516,2019-05-25,7861
6,0,82518,2019-05-25,9297
6,0,82519,2019-05-25,7363
3,0,82520,2019-05-25,7830
3,0,82522,2019-05-25,11905
7,0,82523,2019-05-25,318
6,0,82524,2019-05-25,5601
7,0,82526,2019-05-25,11858
6,0,82527,2019-05-25,7906
5,0,82528,2019-05-25,11906
3,0,82529,2019-05-25,11718
6,0,82530,2019-05-25,5900
6,0,82533,2019-05-25,4418
3,0,82536,2019-05-25,10418
6,0,82537,2019-05-25,5424
1,0,82539,2019-05-25,7238
5,0,82539,2019-05-25,7238
3,0,82540,2019-05-25,5753
6,66660,0,2019-05-26,11226
6,0,82549,2019-05-26,453
1,0,82553,2019-05-27,1140
6,0,82555,2019-05-27,1846
3,0,82556,2019-05-27,11907
6,0,82557,2019-05-27,11013
6,0,82560,2019-05-27,10711
6,0,82562,2019-05-27,7966
3,0,82564,2019-05-27,11812
6,0,82566,2019-05-28,8960
6,0,82568,2019-05-28,7744
6,0,82569,2019-05-28,10341
7,0,82570,2019-05-28,11637
7,0,82571,2019-05-28,11908
6,66701,0,2019-05-28,5354
6,0,82572,2019-05-28,9761
6,0,82579,2019-05-28,8971
6,66717,0,2019-05-28,8
3,0,82582,2019-05-28,11909
3,0,82583,2019-05-28,11910
2,0,82584,2019-05-28,11911
1,0,82585,2019-05-29,11912
3,0,82589,2019-05-29,11274
2,0,82594,2019-05-29,10498
3,0,82596,2019-05-29,11309
3,0,82597,2019-05-29,8733
3,0,82598,2019-05-29,8051
6,66746,0,2019-05-29,11479
6,0,82603,2019-05-29,10865
6,0,82606,2019-05-29,5596
6,0,82609,2019-05-30,8034
6,0,82611,2019-05-30,4468
3,0,82612,2019-05-30,8249
2,0,82615,2019-05-30,11894
6,0,82617,2019-05-30,7159
7,0,82620,2019-05-30,11788
6,0,82622,2019-05-30,111
6,0,82623,2019-05-30,2330
6,0,82624,2019-05-30,10097
6,0,82627,2019-05-30,11852
6,0,82628,2019-05-30,9049
6,0,82630,2019-05-30,408
6,0,82636,2019-05-31,9459
5,0,82637,2019-05-31,11914
1,0,82638,2019-05-31,11915
6,0,82639,2019-05-31,11803
2,0,82640,2019-05-31,10671
2,66799,0,2019-05-31,11558
6,0,82647,2019-05-31,10015
6,0,82649,2019-05-31,10076
6,0,82654,2019-06-01,7874
3,0,82656,2019-06-01,11859
6,0,82658,2019-06-01,8530
1,0,82660,2019-06-01,11916
6,0,82661,2019-06-01,11733
6,0,82664,2019-06-02,8128
5,0,82666,2019-06-02,8864
3,0,82675,2019-06-03,10435
5,0,82678,2019-06-03,11918
3,0,82679,2019-06-03,9642
3,0,82680,2019-06-03,11847
3,0,82683,2019-06-03,11716
