cod_setor,cod_grp_prod,ind_sit_produto,nom_grp_produto,sigla_grp_prod,cod_produto,id_produto,nom_prod_compra,ind_prod_estocavel,cod_unid_estoque,sigla_unid_estoque,nom_unid_estoque,cod_unid_consumo,sigla_unid_consumo,nom_unid_consumo,cod_fabricante
1,2,AP,BIOQUIMICO,SADT,33,33,CREATININA,S,64,UND,UND,64,UND,UND,
1,2,AP,BIOQUIMICO,SADT,46,46,ALT (T.G.P.),N,64,UND,UND,64,UND,UND,
1,2,AP,BIOQUIMICO,SADT,47,47,UREIA,S,64,UND,UND,64,UND,UND,
1,2,AP,BIOQUIMICO,SADT,106,106,TRIGLICERIDES,N,64,UND,UND,64,UND,UND,
2,4,AP,HEMATOLOGIA,SADT,368,368,HEMOGRAMA COMPLETO CLINICA,N,64,UND,UND,64,UND,UND,
84,300,AP,MED - ANTIBIOTICOS,MED,606,,"POLIVITAMINICO SM FORTE FR 20, 50 E 1.000 ML",N,64,UND,UND,64,UND,UND,161.0
84,300,AP,MED - ANTIBIOTICOS,MED,607,,ANTITóXICO SM ORAL FR 20 ML,N,64,UND,UND,64,UND,UND,161.0
84,300,AP,MED - ANTIBIOTICOS,MED,608,,"NEOSULMETINA SM FR 15, 100 E 1.000 ML",N,64,UND,UND,64,UND,UND,161.0
84,300,AP,MED - ANTIBIOTICOS,MED,609,,"VITAKá SM ORAL CáPSULA 30 X 0,5 G",N,64,UND,UND,64,UND,UND,161.0
84,300,AP,MED - ANTIBIOTICOS,MED,610,,IODAVE SM FA 20 ML,N,64,UND,UND,64,UND,UND,161.0
84,300,AP,MED - ANTIBIOTICOS,MED,611,,ECTOMOSOL FR 30 E 100 ML,N,64,UND,UND,64,UND,UND,161.0
84,300,AP,MED - ANTIBIOTICOS,MED,612,,"FERRO SM FR 20, 100 E 1.000 ML",N,64,UND,UND,64,UND,UND,161.0
84,300,AP,MED - ANTIBIOTICOS,MED,613,,ECTOMOSOL SM SPRAY CXA 200ML.,N,64,UND,UND,64,UND,UND,161.0
