cod_tab_preco,nom_tab_preco,ind_ajuste,perc_ajuste,ind_tab_padrao,perc_urgencia,cod_unid_oper,cod_unid_negoc,ind_situacao,cod_tab_desc_progres,ind_aceita_bonus,ind_plano_saude,cod_produto,dat_vigencia,vlr_produto,vlr_prod_urg,vlr_cus_prod,vlr_cus_medio,perc_mrg_lucro,vlr_desc_comis,vlr_desc_apoio,vlr_prod_complementar,vlr_ultima_compra
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,10350,2021-02-03,18.87,18.87,18.87,,,18.87,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11986,2021-01-01,500.0,0.0,350.0,350.0,,,,,350.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11987,2021-01-01,80.0,0.0,80.0,80.0,,,,,80.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11988,2021-01-01,70.0,0.0,60.0,60.0,,,,,60.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11989,2021-01-01,0.0,0.0,0.0,0.0,,,,,0.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11990,2021-01-01,600.0,0.0,390.0,390.0,,,,,390.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11991,2021-01-01,900.0,0.0,585.0,585.0,,,,,585.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11992,2021-01-01,575.0,0.0,373.75,373.75,,,,,373.75
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11994,2021-01-01,98.0,98.0,65.0,65.0,,,,,65.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11995,2021-01-01,60.0,60.0,40.0,40.0,,,,,40.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,12007,2021-01-01,70.0,70.0,45.5,45.5,,,,,45.5
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,12018,2021-01-01,45.0,0.0,30.0,30.0,,,,,30.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,12019,2021-01-01,100.0,100.0,65.0,65.0,,,,,65.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,12020,2021-01-01,45.0,45.0,30.0,30.0,,,,,30.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,12021,2021-01-01,45.0,45.0,30.0,30.0,,,,,30.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,12022,2021-01-01,80.0,80.0,52.0,52.0,,,,,52.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,12023,2021-01-01,80.0,80.0,52.0,52.0,,,,,52.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,12024,2021-01-01,45.0,45.0,30.0,30.0,,,,,30.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,12025,2021-01-01,160.0,160.0,105.0,105.0,,,,,105.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,12027,2021-01-01,50.0,50.0,35.0,35.0,,,,,35.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,12028,2021-01-01,60.0,60.0,40.0,40.0,,,,,40.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,12029,2021-01-01,60.0,60.0,40.0,40.0,,,,,40.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,12030,2021-01-01,45.0,45.0,30.0,30.0,,,,,30.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,12031,2021-01-01,180.0,180.0,120.0,120.0,,,,,120.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,12032,2021-01-01,80.0,80.0,55.0,55.0,,,,,55.0
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,12033,2021-01-01,260.0,260.0,170.0,170.0,,,,,170.0
